"","taphonomyValues","startAge","days"
"505",0.700743014616975,600,60
"506",0.693990704098886,600,60
"507",0.694450565709373,600,60
"508",0.672537451093567,600,60
"509",0.697877292428967,600,60
"510",0.689019006173341,600,60
"511",0.667663074417829,600,60
"512",0.700500189649589,600,60
"513",0.690582289411141,600,60
"514",0.711881023336335,600,60
"515",0.673299514133026,600,60
"516",0.673036235963831,600,60
"517",0.696724086171937,600,60
"518",0.669797670597022,600,60
"519",0.700983651656823,600,60
"520",0.70816795034205,600,60
"521",0.692108207803077,600,60
"522",0.706439989431861,600,60
"523",0.665116141979282,600,60
"524",0.691323865355093,600,60
"525",0.661846443555623,600,60
"526",0.672232788087263,600,60
"527",0.705239854983331,600,60
"528",0.703431747557596,600,60
"529",0.678186532119665,600,60
"530",0.676025703384161,600,60
"531",0.686767320433906,600,60
"532",0.685444213423503,600,60
"533",0.680788478076249,600,60
"534",0.66623331600418,600,60
"535",0.70515143528287,600,60
"536",0.699622714118205,600,60
"537",0.682242512844346,600,60
"538",0.708516534502745,600,60
"539",0.659853119361371,600,60
"540",0.684632781140839,600,60
"541",0.688362973341031,600,60
"542",0.706111350831621,600,60
"543",0.686359252632821,600,60
"544",0.674023709090788,600,60
"545",0.68653135332011,600,60
"546",0.677293253307875,600,60
"547",0.706975139954888,600,60
"548",0.690421947126039,600,60
"549",0.695103129859151,600,60
"550",0.64740986624195,600,60
"551",0.687740493866413,600,60
"552",0.661250015023724,600,60
"553",0.67479023641123,600,60
"554",0.690772803190664,600,60
"555",0.6824845519081,600,60
"556",0.65249336751043,600,60
"557",0.715244333588087,600,60
"558",0.688622624037674,600,60
"559",0.66760167685003,600,60
"560",0.682588768886929,600,60
"561",0.644754270871189,600,60
"562",0.680003670983416,600,60
"563",0.71836646130972,600,60
"564",0.69056235612893,600,60
"565",0.725165649506711,600,60
"566",0.713138855581229,600,60
"567",0.718499727740868,600,60
"568",0.675942356812711,600,60
"569",0.685807922759251,600,60
"570",0.696956924511197,600,60
"571",0.705375009333854,600,60
"572",0.69590746580192,600,60
"573",0.675984938699623,600,60
"574",0.688293800927459,600,60
"575",0.688652949953041,600,60
"576",0.696040740362984,600,60
"577",0.687234832458914,600,60
"578",0.667581724968218,600,60
"579",0.654932499518623,600,60
"580",0.694990977323589,600,60
"581",0.695094345392843,600,60
"582",0.676367185925005,600,60
"583",0.709905008159501,600,60
"584",0.687922458933903,600,60
"585",0.698947844952435,600,60
"586",0.69018708780909,600,60
"587",0.694017705522909,600,60
"588",0.679646705819759,600,60
"589",0.683221390527748,600,60
"590",0.698377441429968,600,60
"591",0.698701355365855,600,60
"592",0.656521357279516,600,60
"593",0.704172413209753,600,60
"594",0.696278313774403,600,60
"595",0.729890530638622,600,60
"596",0.647890297202249,600,60
"597",0.68316563934257,600,60
"598",0.681516336055007,600,60
"599",0.686096533296451,600,60
"600",0.622223384992834,600,60
"601",0.665105279597824,600,60
"602",0.63822869501867,600,60
"603",0.707924097593266,600,60
"604",0.66102717031809,600,60
"605",0.646968512002957,600,60
"606",0.722077987074725,600,60
"607",0.696626194024904,600,60
"608",0.700696175259951,600,60
"609",0.684713923789458,600,60
"610",0.700293913943303,600,60
"611",0.67721209349157,600,60
"612",0.674402380537608,600,60
"613",0.665285689043722,600,60
"614",0.712795849203211,600,60
"615",0.68797838796518,600,60
"616",0.660927992477967,600,60
"617",0.666457984754591,600,60
"618",0.633859837629035,600,60
"619",0.675289579530054,600,60
"620",0.677666391779321,600,60
"621",0.686235020853552,600,60
"622",0.69565896426787,600,60
"623",0.683826419672055,600,60
"624",0.690950555129256,600,60
"625",0.677535655865871,600,60
"626",0.703021598424701,600,60
"627",0.700720710863258,600,60
"628",0.689325345397386,600,60
"629",0.644870106173867,600,60
"630",0.656805803460899,600,60
"631",0.693962789493441,600,60
"632",0.679833414914871,600,60
"633",0.679911992971685,600,60
"634",0.680945618365583,600,60
"635",0.730723685260537,600,60
"636",0.690233160037211,600,60
"637",0.732792363345631,600,60
"638",0.697154990297389,600,60
"639",0.6991324107867,600,60
"640",0.71714182508176,600,60
"641",0.696083359591956,600,60
"642",0.699099810981065,600,60
"643",0.683269774105211,600,60
"644",0.650260306424782,600,60
"645",0.659411254845474,600,60
"646",0.728767602054483,600,60
"647",0.702507454674097,600,60
"648",0.695904310928824,600,60
"649",0.681462393526404,600,60
"650",0.694915856422333,600,60
"651",0.698776053905883,600,60
"652",0.726314966489499,600,60
"653",0.688928116524488,600,60
"654",0.69622529630675,600,60
"655",0.698247292604973,600,60
"656",0.688707499225256,600,60
"657",0.688012416559904,600,60
"658",0.696120087473438,600,60
"659",0.675218429852953,600,60
"660",0.711422048438036,600,60
"661",0.676776495026282,600,60
"662",0.676859776593387,600,60
"663",0.715747729354779,600,60
"664",0.684351063879909,600,60
"665",0.6694211091613,600,60
"666",0.687145909289737,600,60
"667",0.652503788016893,600,60
"668",0.715648426517124,600,60
"669",0.660941716879732,600,60
"670",0.689089636073612,600,60
"671",0.696995500767571,600,60
"672",0.698161006783507,600,60
"673",0.700842953709397,600,60
"674",0.71694499574607,600,60
"675",0.68608221375237,600,60
"676",0.673113403763493,600,60
"677",0.702096941400111,600,60
"678",0.683613898149967,600,60
"679",0.675714613000529,600,60
"680",0.688708451245341,600,60
"681",0.679165457316338,600,60
"682",0.682985885972583,600,60
"683",0.708864442357465,600,60
"684",0.712394847093971,600,60
"685",0.665377101320524,600,60
"686",0.704542632450939,600,60
"687",0.700688965046804,600,60
"688",0.682158895456588,600,60
"689",0.706829806498045,600,60
"690",0.701058776549181,600,60
"691",0.625653218054637,600,60
"692",0.687294184559446,600,60
"693",0.69075307348129,600,60
"694",0.691723110088958,600,60
"695",0.662370347798175,600,60
"696",0.692430681321194,600,60
"697",0.68098955233889,600,60
"698",0.700967200957056,600,60
"699",0.655687004411906,600,60
"700",0.707856676862364,600,60
"701",0.682736204503689,600,60
"702",0.71105733326295,600,60
"703",0.639839934260629,600,60
"704",0.659405758670498,600,60
"705",0.682896252848611,600,60
"706",0.687860922166293,600,60
"707",0.693110399986576,600,60
"708",0.696472512507822,600,60
"709",0.673462651686197,600,60
"710",0.690257870729813,600,60
"711",0.686773881309809,600,60
"712",0.663758519008086,600,60
"713",0.703345075022298,600,60
"714",0.683141799578388,600,60
"715",0.674102241866892,600,60
"716",0.683769970851408,600,60
"717",0.665919511330617,600,60
"718",0.698498605439988,600,60
"719",0.688715478297442,600,60
"720",0.665568061833407,600,60
"721",0.690174617485544,600,60
"722",0.691942980854163,600,60
"723",0.711295217575823,600,60
"724",0.665098585563124,600,60
"725",0.653381245431816,600,60
"726",0.678201939458179,600,60
