"","taphonomyValues","decayRate","startAge"
"316",0.5025595660266,5.5e-05,400
"317",0.511416466800612,5.5e-05,400
"318",0.507671211192272,5.5e-05,400
"319",0.504639638655049,5.5e-05,400
"320",0.504863441844356,5.5e-05,400
"321",0.513270183084207,5.5e-05,400
"322",0.512183737745914,5.5e-05,400
"323",0.510022676969378,5.5e-05,400
"324",0.52302511364927,5.5e-05,400
"325",0.504029905859171,5.5e-05,400
"326",0.506626299308293,5.5e-05,400
"327",0.507168394734643,5.5e-05,400
"328",0.507458298693991,5.5e-05,400
"329",0.506767732439554,5.5e-05,400
"330",0.520738953835761,5.5e-05,400
"331",0.500561646649964,5.5e-05,400
"332",0.506822223731085,5.5e-05,400
"333",0.502264281194615,5.5e-05,400
"334",0.510630424624134,5.5e-05,400
"335",0.50726586044821,5.5e-05,400
"336",0.516358649160854,5.5e-05,400
"337",0.513521356994432,5.5e-05,400
"338",0.505262680969114,5.5e-05,400
"339",0.518705419966622,5.5e-05,400
"340",0.515292258831665,5.5e-05,400
"341",0.515524538837198,5.5e-05,400
"342",0.509436381829512,5.5e-05,400
"343",0.519660403728933,5.5e-05,400
"344",0.505805348793885,5.5e-05,400
"345",0.510294535706557,5.5e-05,400
"346",0.504926212735802,5.5e-05,400
"347",0.506904502106101,5.5e-05,400
"348",0.511172741118881,5.5e-05,400
"349",0.509660664058143,5.5e-05,400
"350",0.509049908811075,5.5e-05,400
"351",0.508160293101511,5.5e-05,400
"352",0.502416349029076,5.5e-05,450
"353",0.510962583762672,5.5e-05,450
"354",0.513622131547793,5.5e-05,450
"355",0.507796114466157,5.5e-05,450
"356",0.515871256180527,5.5e-05,450
"357",0.511180099370961,5.5e-05,450
"358",0.508032675221229,5.5e-05,450
"359",0.519532127475782,5.5e-05,450
"360",0.522343643713968,5.5e-05,450
"361",0.513329046726656,5.5e-05,450
"362",0.516652584479307,5.5e-05,450
"363",0.505976268264516,5.5e-05,450
"364",0.509670994890088,5.5e-05,450
"365",0.514125165913479,5.5e-05,450
"366",0.518053098868382,5.5e-05,450
"367",0.516684089335429,5.5e-05,450
"368",0.509530934338055,5.5e-05,450
"369",0.510411719279649,5.5e-05,450
"370",0.510618380693378,5.5e-05,450
"371",0.51011843015127,5.5e-05,450
"372",0.509543500810237,5.5e-05,450
"373",0.503349145013974,5.5e-05,450
"374",0.50771070217414,5.5e-05,450
"375",0.500759015496081,5.5e-05,450
"376",0.525618649346993,5.5e-05,450
"377",0.511367003471939,5.5e-05,450
"378",0.518684883638349,5.5e-05,450
"379",0.512882748863198,5.5e-05,450
"380",0.509846966636306,5.5e-05,450
"381",0.513356007932753,5.5e-05,450
"382",0.515959573894589,5.5e-05,450
"383",0.517044672516285,5.5e-05,450
"384",0.511677274575496,5.5e-05,450
"385",0.510139036279031,5.5e-05,450
"386",0.511857212478501,5.5e-05,450
"387",0.505841480765002,5.5e-05,450
"388",0.507599505696061,5.5e-05,450
"389",0.507026870263906,5.5e-05,450
"390",0.505097784330895,5.5e-05,450
"391",0.521751190284031,5.5e-05,450
"392",0.516324364734308,5.5e-05,450
"393",0.519469719560873,5.5e-05,450
"394",0.514202686851721,5.5e-05,450
"395",0.516481337155446,5.5e-05,450
"396",0.507742200387479,5.5e-05,450
"397",0.51413807568626,5.5e-05,450
"398",0.519259786806104,5.5e-05,450
"399",0.509369129085141,5.5e-05,450
"400",0.524564266381645,5.5e-05,450
"401",0.511414903441824,5.5e-05,450
"402",0.513927048417723,5.5e-05,500
"403",0.512681310389683,5.5e-05,500
"404",0.515331406501829,5.5e-05,500
"405",0.51394061439462,5.5e-05,500
"406",0.509541173767285,5.5e-05,500
"407",0.514639931579219,5.5e-05,500
"408",0.514652027429256,5.5e-05,500
"409",0.509524053060789,5.5e-05,500
"410",0.52294186025659,5.5e-05,500
"411",0.514901759130506,5.5e-05,500
"412",0.513811266504263,5.5e-05,500
"413",0.518804282981296,5.5e-05,500
"414",0.514086180329879,5.5e-05,500
"415",0.504058659997657,5.5e-05,500
"416",0.510913874980187,5.5e-05,500
"417",0.522267814201436,5.5e-05,500
"418",0.517599167419071,5.5e-05,500
"419",0.517556415492501,5.5e-05,500
"420",0.510850913773269,5.5e-05,500
"421",0.513899028398238,5.5e-05,500
"422",0.514172342874979,5.5e-05,500
"423",0.518839369726211,5.5e-05,500
"424",0.52288306717029,5.5e-05,500
"425",0.503329416229325,5.5e-05,500
"426",0.518337095745423,5.5e-05,500
"427",0.50603756035086,5.5e-05,500
"428",0.509078180678251,5.5e-05,500
"429",0.519191647996409,5.5e-05,500
"430",0.509294780214776,5.5e-05,500
"431",0.508206338786801,5.5e-05,500
"432",0.51828931219332,5.5e-05,500
"433",0.5181099632569,5.5e-05,500
"434",0.515336299275533,5.5e-05,500
"435",0.504887792792972,5.5e-05,500
"436",0.515216097797516,5.5e-05,500
"437",0.519683965568263,5.5e-05,500
"438",0.511480617845774,5.5e-05,500
"439",0.517714341919132,5.5e-05,500
"440",0.51404084099259,5.5e-05,500
"441",0.523919892381651,5.5e-05,500
"442",0.510858130208804,5.5e-05,500
"443",0.500595183392368,5.5e-05,500
"444",0.511554273565464,5.5e-05,500
