"","startAges","decayLevels","states","decayRates","decayRateRounded"
"33273",500,1,0,0.0160145703703165,0.016
"33274",500,1,0,0.00831091031432152,0.008
"33275",500,1,1,0.00429817847907543,0.004
"33276",500,1,1,0.0197570081800222,0.02
"33277",500,1,1,0.0048526911996305,0.005
"33278",500,1,1,0.0149795776233077,0.015
"33279",500,1,0,0.0168896894901991,0.017
"33280",500,1,1,0.00536698708310723,0.005
"33281",500,1,1,0.00919964257627726,0.009
"33282",500,1,0,0.00308047467842698,0.003
"33283",500,1,1,0.0133024202659726,0.013
"33284",500,1,1,0.0143453469499946,0.014
"33285",500,1,0,0.013763858936727,0.014
"33286",500,1,1,0.0181415379047394,0.018
"33287",500,1,1,0.00289009232074022,0.003
"33288",500,1,1,0.00168467953335494,0.002
"33289",500,1,1,0.00235807383432984,0.002
"33290",500,1,0,0.00140032020863146,0.001
"33291",500,1,0,0.0086150960996747,0.009
"33292",500,1,1,0.000537814281415194,0.001
"33293",500,1,0,0.00436602206900716,0.004
"33294",500,1,0,0.010990871116519,0.011
"33295",500,1,1,0.00497161131352186,0.005
"33296",500,1,0,0.0100413989275694,0.01
"33297",500,1,0,0.00967817008495331,0.01
"33298",500,1,1,0.0064675691537559,0.006
"33299",500,1,1,0.00932040438055992,0.009
"33300",500,1,0,0.00504359137266874,0.005
"33301",500,1,1,0.00114584737457335,0.001
"33302",500,1,0,0.00127420481294394,0.001
"33303",500,1,0,0.0028828801587224,0.003
"33304",500,1,1,0.0191165283322334,0.019
"33305",500,1,1,0.00819541607052088,0.008
"33306",500,1,1,0.0036229498218745,0.004
"33307",500,1,0,0.00497790519148111,0.005
"33308",500,1,0,0.0199636332690716,0.02
"33309",500,1,1,0.00216227723285556,0.002
"33310",500,1,0,0.0154073098674417,0.015
"33311",500,1,1,0.00366241671144962,0.004
"33312",500,1,1,0.00252465112134814,0.003
"33313",500,1,1,0.0189635008573532,0.019
"33314",500,1,0,0.00229000695981085,0.002
"33315",500,1,0,0.00824030395597219,0.008
"33316",500,1,1,0.0175817888230085,0.018
"33317",500,1,1,0.0148023469373584,0.015
"33318",500,1,0,0.00351711455732584,0.004
"33319",500,1,1,0.00301728141494095,0.003
"33320",500,1,1,0.00633134040981531,0.006
"33321",500,1,1,0.008204554207623,0.008
"33322",500,1,0,0.0141276763752103,0.014
"33323",500,1,1,0.00856743194162846,0.009
"33324",500,1,1,0.0180803705006838,0.018
"33325",500,1,0,0.00971089582890272,0.01
"33326",500,1,0,0.0166208297014236,0.017
"33327",500,1,0,0.000559832318685949,0.001
"33328",500,1,1,0.0126946633681655,0.013
"33329",500,1,0,0.0153973335400224,0.015
"33330",500,1,0,0.000929070287384093,0.001
"33331",500,1,0,0.00557111902162433,0.006
"33332",500,1,0,0.00105580734089017,0.001
"33333",500,1,1,0.000148040562635288,0
